article_hash;article_title;category;publish_date;article_body;raw_content;source_entity;article_link;generated_summary;negative_score;importance_score
ac209a166233a43055bae896d3b0001e20df4014c28a569df6f926fca80bdf73;Finaliza preparación del juicio oral contra imputado por caso Naín: arriesga 43 años de cárcel;Nacional;;;;biobiochile.cl;https://www.biobiochile.cl/noticias/nacional/region-de-la-araucania/2023/07/09/finaliza-preparacion-del-juicio-oral-contra-imputado-por-caso-nain-arriesga-43-anos-de-carcel.shtml;;;
ecbe622a1e1fa1de9d5130c131a0504bb64607a276fb310a874677c585b9ca1d;"Corte ordena desalojo de toma en San Antonio y expresan que es un delito en ""flagrancia permanente""";Nacional;;;;biobiochile.cl;https://www.biobiochile.cl/noticias/nacional/region-de-valparaiso/2023/07/09/corte-ordena-desalojo-de-toma-en-san-antonio-y-expresan-que-es-un-delito-en-flagrancia-permanente.shtml;;;
96bf4e20100154a6a34688e827d9b582a3d1a3a9714164e1ce08761d3d442a77;Presidente Boric participó en ceremonia de juramento a la bandera en Escuela Militar;Nacional;;;;biobiochile.cl;https://www.biobiochile.cl/noticias/nacional/chile/2023/07/09/presidente-boric-participo-en-ceremonia-de-juramento-a-la-bandera-en-escuela-militar.shtml;;;
30e6ea17b180827b844737fdd896f6cffc06333017ad83f8828d2b03c1b09f35;Las imágenes y videos que dejó el sismo que afectó a la zona central del país;Nacional;;;;biobiochile.cl;https://www.biobiochile.cl/noticias/nacional/region-metropolitana/2023/07/09/las-imagenes-y-videos-que-dejo-el-sismo-que-afecto-a-la-zona-central-del-pais.shtml;;;
63f804d02ea5e0e3a7bf11221f0a5c0a2af9e3ac527d38e1eec4346a261ff52b;Sismo de mediana intensidad afecta a la zona central del país;Nacional;;;;biobiochile.cl;https://www.biobiochile.cl/noticias/nacional/chile/2023/07/09/sismo-de-gran-magnitud-afecta-a-la-zona-central-del-pais.shtml;;;
82b897d4d9cf95ee1f17a4e0263d5e5fcc775d12c65b7e12a5f19acec95721ce;Alcalde advierte que Malalhue podría quedarse sin atención médica de 24 horas por falta de recursos;Nacional;;;;biobiochile.cl;https://www.biobiochile.cl/noticias/nacional/region-de-los-rios/2023/07/09/alcalde-advierte-que-malalhue-podria-quedarse-sin-atencion-medica-de-24-horas-por-falta-de-recursos.shtml;;;
d642cd50d63547ed478b79b6e0154ffcf82ed5c0cd4dcc51de350d0f5d9fecca;Con 3° bajo cero: miles de personas se lanzaron al agua en tradicional chapuzón en Punta Arenas;Nacional;;;;biobiochile.cl;https://www.biobiochile.cl/noticias/nacional/region-de-magallanes/2023/07/09/con-3-bajo-cero-miles-de-personas-se-lanzaron-al-agua-en-tradicional-chapuzon-en-punta-arenas.shtml;;;
f0fb1b6c27e0e1259750dc9f0b0c5e14e3beb4a0bda926810b2c838140c889ec;Casa patronal y galpones destruidos dejan dos ataques incendiarios en zonas rurales de La Araucanía;Nacional;;;;biobiochile.cl;https://www.biobiochile.cl/noticias/nacional/region-de-la-araucania/2023/07/09/casa-patronal-y-galpones-destruidos-dejan-dos-ataques-incendiarios-en-zonas-rurales-de-la-araucania.shtml;;;
7ee63017d3cfae01a318c821c51db814ef52f0d10bf1b4d00aaacf8cfd32b21b;Cancillería confirma que chileno desaparecido en Bolivia fue encontrado;Nacional;;;;biobiochile.cl;https://www.biobiochile.cl/noticias/nacional/chile/2023/07/09/cancilleria-confirma-que-chileno-desaparecido-en-bolivia-fue-encontrado.shtml;;;
d5523cb1d47d480d0575cd012314094bd48eaba363fbaa184ec15be3606d4d22;"Final feliz para ""la vaca de chocolate más grande"" de Osorno: todo el proceso cumplía normativas";Nacional;;;;biobiochile.cl;https://www.biobiochile.cl/noticias/nacional/region-de-los-lagos/2023/07/09/final-feliz-para-la-vaca-de-chocolate-mas-grande-de-osorno-todo-el-proceso-cumplia-normativas.shtml;;;
ca7d4e19701eef32a5a5a5d08ce79e5d38ca4ef87c862e70de4cb65822e9054c;Registro Civil de Concepción y Los Ángeles abrirán un día más en julio: Revisa los nuevos horarios;Nacional;;;;biobiochile.cl;https://www.biobiochile.cl/noticias/nacional/region-del-bio-bio/2023/07/09/registro-civil-de-concepcion-y-los-angeles-abriran-un-dia-mas-en-julio-revisa-los-nuevos-horarios.shtml;;;
226d79ff136f5d0c0d024a38eaae89b6b1a0b09b712fb199b2e2bfdc88b956ef;Fiscalizan Espacio Don Oscar tras reiterados hechos de violencia: dos personas fueron detenidas;Nacional;;;;biobiochile.cl;https://www.biobiochile.cl/noticias/nacional/region-metropolitana/2023/07/09/fiscalizan-espacio-don-oscar-tras-reiterados-hechos-de-violencia-dos-personas-fueron-detenidas.shtml;;;
4c337e8577d38bbca7b2288d8ad33e3c62b0e49f1cc17e309e733e2b436e3f75;Al menos un muerto deja choque de vehículo contra un muro en Viña del Mar;Nacional;;;;biobiochile.cl;https://www.biobiochile.cl/noticias/nacional/region-de-valparaiso/2023/07/09/al-menos-un-muerto-deja-choque-de-vehiculo-contra-un-muro-en-vina-del-mar.shtml;;;
9c5d559b5ac99b9b648d4f8f1319148c5940a6952b3e66779da4201436bc4f67;Pronóstico del tiempo para domingo, 9 de julio de 2023;Nacional;;;;biobiochile.cl;https://www.biobiochile.cl/noticias///2023/07/09/pronostico-del-tiempo-para-domingo-9-de-julio-de-2023.shtml;;;
958fcc775fadeaadf98fa2759742e51f242764b9b9177d40152c212299f0a851;"Diputado Republicano, Agustín Romero, por caso Convenios: ""Hirió de muerte a la Reforma Tributaria""";Nacional;;;;biobiochile.cl;https://www.biobiochile.cl/noticias/nacional/chile/2023/07/08/diputado-republicano-agustin-romero-por-caso-convenios-hirio-de-muerte-a-la-reforma-tributaria.shtml;;;
23fe6af8a110454a44369a3f50d7d9455685a3637789780697e3447742b69697;Bombero resutó herido: incendio afecta a local comercial en popular subida Ecuador de Valparaíso;Nacional;;;;biobiochile.cl;https://www.biobiochile.cl/noticias/biobiochile/videos/2023/07/08/bombero-resuto-herido-incendio-afecta-a-local-comercial-en-popular-subida-ecuador-de-valparaiso.shtml;;;
7b9c5c8ed9ef95f4a98dad31fd621927aa3ee502040b021a8de9bef06d4ece11;Demostró por qué es campeona: Daniela ’Leona’ Asenjo venció a Alderete y mira a defensa de título IBO;Nacional;;;;biobiochile.cl;https://www.biobiochile.cl/noticias/deportes/mas-deportes/2023/07/08/demostro-por-que-es-campeona-daniela-leona-asenjo-vencio-a-alderete-en-pelea-previa-por-titulo-ibo.shtml;;;
d3874b735f72948eed962883890ec5c05e1426ca4363637dfb844842865e7194;Indonesio condenado por violación a TENS en residencia sanitaria será expulsado del país: estaba libre;Nacional;;;;biobiochile.cl;https://www.biobiochile.cl/noticias/nacional/region-de-magallanes/2023/07/08/indonesio-condenado-por-violacion-a-tens-en-residencia-sanitaria-sera-expulsado-del-pais-estaba-libre.shtml;;;
163c9600b26c949fe9e363f117a5711602289b7e4b2c382aee41455e6844fea7;Mujer cayó desde el segundo piso de Mallplaza Trébol y quedó con lesiones de gravedad;Nacional;;;;biobiochile.cl;https://www.biobiochile.cl/noticias/nacional/region-del-bio-bio/2023/07/08/mujer-cayo-desde-el-segundo-piso-de-mallplaza-trebol-y-quedo-con-lesiones-de-gravedad.shtml;;;
